DATE,ADPT,ASLP,ASTP,AWBT,AWND,PRCP,RHAV,TAVG,TMAX,TMIN,WSF2,WSF5,WT_VECTOR
2017-01-01,18.9,1021.3,1020.0,21.1,4.4,0.0,6.9,24.6,28.3,21.7,8.9,12.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-02,21.7,1020.7,1019.6,23.3,5.5,0.0,7.5,26.5,29.4,25.0,10.3,13.9,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-03,21.7,1016.3,1015.6,22.8,3.4,17.5,7.9,26.4,30.0,22.8,7.6,10.7,[0.  0.  0.1 0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0. ]
2017-01-04,21.7,1012.9,1011.9,22.8,2.7,4.1,8.2,24.5,28.3,22.8,5.4,7.6,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-01-05,15.0,1013.5,1011.9,18.3,1.7,0.0,6.2,23.5,27.8,18.3,5.4,8.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-06,19.4,1015.6,1014.2,20.6,2.4,0.0,8.0,22.3,28.3,16.7,6.7,8.9,[0.1 0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-01-07,18.9,1017.9,1015.6,20.6,4.8,15.0,7.9,25.3,30.6,12.2,9.8,15.7,[0.1 0.  0.1 0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0. ]
2017-01-08,7.2,1028.1,1025.7,11.1,5.8,0.0,6.3,15.1,21.1,10.6,9.4,15.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-09,8.9,1030.5,1029.5,12.8,4.3,0.0,5.8,15.9,22.8,11.1,9.8,13.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-10,12.2,1027.4,1026.8,16.1,4.6,0.3,5.9,20.9,25.0,17.8,9.4,12.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-11,15.6,1025.4,1024.0,18.3,5.5,0.8,6.6,22.3,26.1,19.4,9.8,12.1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-12,16.1,1025.4,1024.0,18.9,5.2,0.0,6.0,23.9,27.2,21.7,9.8,11.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-13,16.1,1027.1,1025.7,19.4,5.3,0.0,6.1,24.2,27.8,22.2,9.8,12.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-14,16.1,1026.4,1025.1,18.9,4.1,1.5,6.5,23.4,26.1,20.0,9.8,12.5,[0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0. ]
2017-01-15,16.1,1023.4,1022.4,19.4,4.5,0.0,6.0,24.2,28.3,20.6,8.9,10.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-16,16.1,1023.0,1021.3,19.4,5.5,0.0,6.0,24.9,28.3,22.2,9.4,11.6,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-17,16.7,1023.0,1021.7,19.4,3.6,0.0,6.3,24.4,28.3,20.6,8.1,9.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-18,16.7,1021.0,1020.0,19.4,2.1,0.0,6.4,23.8,28.3,18.9,5.8,8.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-19,16.7,1017.3,1016.3,18.9,2.2,0.0,6.8,23.1,28.9,18.9,5.8,8.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-20,17.2,1015.6,1014.2,19.4,1.8,0.0,6.8,23.2,28.3,18.3,6.7,9.8,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-21,17.8,1013.9,1013.2,19.4,2.7,0.0,7.1,23.4,28.9,17.8,8.1,12.5,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-01-22,20.6,1007.8,1007.5,22.8,6.8,0.0,6.8,26.0,30.6,23.9,12.5,16.1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-23,15.6,1004.1,1002.0,18.9,6.4,30.5,6.3,25.0,26.7,20.0,13.9,21.5,[0.1 0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-01-24,13.9,1012.5,1010.8,16.7,3.4,0.0,6.4,21.4,26.7,17.2,6.7,10.3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-25,15.0,1016.9,1015.6,17.2,1.7,0.0,7.0,20.9,26.7,15.0,6.3,9.8,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-01-26,17.2,1017.9,1016.6,19.4,2.9,0.0,6.8,23.1,29.4,17.8,8.1,10.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-27,16.7,1017.6,1016.3,19.4,2.9,0.0,6.7,23.8,29.4,19.4,6.3,8.1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-28,6.7,1019.0,1017.6,12.8,3.0,0.0,4.5,19.8,23.9,14.4,5.8,8.1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-01-29,9.4,1020.0,1018.6,11.7,2.4,16.8,7.6,15.7,18.9,11.7,7.2,9.8,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-01-30,9.4,1022.0,1020.7,12.8,1.6,0.0,6.3,16.3,22.8,10.6,5.8,8.1,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-01-31,8.3,1023.7,1022.4,12.8,2.5,0.0,5.3,17.8,23.9,12.8,5.8,8.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-01,13.3,1022.0,1021.0,16.1,2.1,0.0,6.2,20.4,26.1,14.4,5.8,8.1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-02,16.7,1021.3,1020.3,18.9,2.4,0.0,7.2,21.8,26.7,17.8,7.2,9.8,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-03,17.8,1021.0,1020.0,19.4,1.7,0.0,7.3,22.8,27.8,18.9,4.5,11.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-04,16.1,1021.3,1020.3,18.9,2.7,0.0,6.7,22.6,27.8,18.3,6.7,8.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-05,16.7,1020.7,1019.6,18.9,1.8,0.0,7.1,22.9,27.2,18.3,5.8,9.4,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-02-06,17.2,1020.3,1019.6,19.4,3.4,0.0,7.1,22.8,27.8,18.3,7.6,10.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-07,19.4,1017.6,1016.6,21.1,4.2,0.0,7.5,24.2,27.2,21.7,7.2,10.3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-08,20.0,1015.2,1013.9,21.7,2.8,0.0,7.5,24.6,30.6,20.0,6.3,9.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-09,19.4,1018.3,1016.6,21.1,3.3,0.0,7.9,23.8,30.0,19.4,7.2,10.3,[0.1 0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-02-10,13.9,1025.4,1023.7,17.2,4.0,0.0,6.3,22.1,25.0,17.2,8.1,12.1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-11,13.9,1024.7,1023.7,17.2,3.7,0.0,6.0,22.0,25.6,18.3,6.7,9.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-12,15.0,1022.0,1021.0,17.8,2.1,0.0,6.6,21.8,26.7,16.7,5.8,8.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-13,16.1,1017.9,1017.3,18.3,2.4,0.0,7.0,21.8,27.2,17.2,3.6,9.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-14,17.2,1015.2,1014.2,19.4,2.2,0.0,7.5,22.4,28.3,18.3,6.7,10.7,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-02-15,18.9,1012.9,1011.9,20.6,4.3,0.0,7.5,23.0,28.9,17.2,8.1,15.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-16,15.6,1014.9,1013.5,17.8,4.2,0.0,6.9,22.7,25.6,16.1,5.8,9.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-17,13.3,1017.9,1016.9,15.6,2.9,0.0,6.9,18.9,25.0,13.9,6.3,8.9,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-18,17.8,1016.9,1015.6,19.4,2.5,0.0,7.9,21.3,26.7,16.7,6.3,9.8,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-19,20.0,1016.9,1015.6,21.7,2.7,0.0,7.9,24.0,30.0,19.4,6.3,9.8,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-02-20,16.7,1019.0,1017.9,18.9,2.9,0.0,7.2,22.4,26.7,20.0,7.6,9.8,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-21,15.6,1016.9,1016.3,17.8,3.7,0.0,7.1,21.2,26.1,19.4,8.1,10.3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-22,17.8,1007.1,1006.8,18.3,3.7,33.0,8.9,20.2,23.9,17.8,8.9,12.1,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-02-23,15.0,1004.4,1003.0,17.2,3.3,0.0,7.1,20.7,26.7,17.2,7.2,9.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-24,17.8,1008.5,1006.8,19.4,2.2,0.0,7.9,21.4,28.3,16.7,4.5,6.3,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-02-25,18.9,1012.9,1011.2,20.0,2.3,0.0,7.9,22.9,30.0,18.3,4.5,8.1,[0.1 0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-02-26,17.8,1018.6,1016.9,20.0,3.7,0.0,7.0,23.2,28.3,18.9,7.2,11.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-27,20.0,1022.4,1021.0,21.7,5.9,0.3,7.3,25.0,28.3,23.3,9.8,12.1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-02-28,,,,,5.8,0.0,,25.4,28.3,23.3,9.4,11.6,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-01,20.0,1019.6,1019.0,21.7,4.2,0.0,7.4,24.9,28.3,22.2,7.6,10.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-02,20.6,1018.3,1016.9,21.7,2.4,4.6,7.8,24.6,29.4,20.6,6.3,10.3,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-03-03,17.2,1023.0,1021.3,19.4,4.8,0.0,7.0,23.3,27.2,19.4,9.4,12.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-04,11.1,1026.8,1025.4,16.1,6.6,0.0,5.0,22.6,25.0,21.1,11.2,15.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-05,10.6,1026.4,1025.1,15.6,8.5,0.0,4.8,21.9,24.4,20.6,13.4,17.9,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-06,12.2,1025.7,1024.7,16.1,7.7,0.0,5.5,21.8,25.0,20.0,13.0,15.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-07,15.6,1025.1,1024.0,18.3,6.8,0.0,6.4,22.4,26.1,20.6,9.4,13.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-08,15.6,1024.7,1023.4,18.3,4.3,0.0,6.2,23.1,26.7,19.4,8.1,11.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-09,16.1,1022.4,1021.3,18.9,2.9,0.0,6.6,23.1,27.2,18.3,7.2,8.9,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-10,16.1,1019.0,1018.3,18.9,1.9,0.0,6.6,23.4,30.0,18.9,5.8,8.9,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-11,17.2,1018.6,1017.3,19.4,4.0,0.0,6.6,23.5,28.3,20.0,8.1,10.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-12,17.8,1017.6,1016.6,20.0,3.3,33.8,7.1,24.1,28.3,20.0,7.2,10.7,[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-03-13,18.9,1014.9,1014.2,20.6,3.5,0.0,7.5,23.2,28.3,19.4,8.1,12.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-14,15.0,1014.9,1013.2,17.8,4.3,10.2,6.8,22.9,25.0,16.7,9.4,13.0,[0.1 0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-03-15,6.7,1021.0,1019.6,11.7,3.9,0.0,5.2,17.6,21.1,13.9,7.6,11.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-16,5.6,1025.1,1023.4,11.1,3.1,0.0,4.8,16.3,22.2,11.7,6.3,8.9,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-17,7.8,1026.4,1025.1,12.8,3.5,0.0,4.9,18.2,24.4,13.9,8.9,11.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-18,12.2,1024.0,1023.4,16.1,2.7,0.0,5.8,20.9,25.6,17.8,6.3,8.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-19,12.8,1020.3,1019.6,16.7,3.1,0.0,5.9,21.3,28.3,15.0,6.7,9.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-20,11.7,1020.7,1019.6,15.6,3.5,0.0,5.6,21.3,25.6,17.2,7.2,10.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-21,11.1,1020.7,1019.6,15.6,2.6,0.0,5.2,21.6,26.1,17.2,7.6,10.3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-22,12.8,1019.3,1017.9,16.7,2.2,0.0,5.6,22.0,27.8,17.8,5.8,8.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-23,17.2,1021.7,1020.0,19.4,3.8,29.7,7.0,23.2,29.4,18.9,11.6,20.6,[0.1 0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2017-03-24,17.2,1023.7,1022.4,19.4,6.4,15.0,7.2,22.7,26.7,20.6,12.5,14.3,[0.1 0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0. ]
2017-03-25,17.2,1021.0,1020.3,19.4,5.4,1.8,6.9,23.5,27.2,20.6,9.8,12.5,[0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0. ]
2017-03-26,17.2,1018.6,1017.6,19.4,4.3,4.6,6.7,23.6,27.8,20.6,8.1,11.2,[0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0. ]
2017-03-27,15.6,1017.3,1016.3,18.9,2.8,0.0,6.1,23.8,27.8,19.4,7.6,10.3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-28,17.2,1016.6,1015.2,20.0,2.0,0.0,6.8,23.6,28.3,19.4,6.3,9.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-29,17.2,1016.6,1015.2,20.0,2.6,0.0,6.3,25.1,28.9,22.2,6.7,8.9,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-30,17.2,1015.6,1014.6,20.0,4.3,0.0,6.2,24.9,28.9,21.7,9.4,11.6,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-03-31,18.9,1013.9,1012.9,21.7,4.9,0.0,6.5,25.9,30.6,23.3,9.8,13.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-04-01,21.1,1016.3,1014.6,22.8,2.6,0.0,7.3,26.6,31.1,23.3,6.7,9.8,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-04-02,22.2,1017.6,1016.3,23.3,3.7,0.0,7.9,26.7,31.1,23.9,7.6,9.8,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-04-03,20.6,1015.9,1014.6,22.8,5.4,0.0,7.1,26.7,29.4,25.0,9.4,13.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-04-04,20.6,1015.6,1013.5,22.8,4.7,0.0,6.8,26.9,30.0,23.9,7.6,11.6,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-04-05,21.7,1015.9,1014.6,23.3,3.8,0.0,7.5,26.7,30.6,23.9,8.1,11.6,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-04-06,20.6,1014.9,1014.2,22.8,5.0,0.0,6.7,27.7,32.8,20.6,9.8,13.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-04-07,7.8,1017.6,1016.3,13.9,4.3,0.0,4.4,21.7,25.0,17.2,7.6,11.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2017-04-08,8.3,1017.6,1016.3,13.9,2.6,0.0,4.6,20.2,25.6,14.4,6.3,9.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
